1020-F1	1020-F1.filt.sam	PQ624981	442	12	0.974
1020-F1	1020-F1.filt.sam	PQ625084	63	1	0.984
1428-M-42	1428-M-42.filt.sam	PQ624895	79289	965	0.988
1428-M-42	1428-M-42.filt.sam	PQ625000	107611	827	0.992
1428-M-42	1428-M-42.filt.sam	PQ625103	44889	1443	0.969
1428-M-42	1428-M-42.filt.sam	PQ625178	71314	1190	0.984
1020-F-36	1020-F-36.filt.sam	PQ624984	984	17	0.983
1020-F-36	1020-F-36.filt.sam	PQ624876	1126	2	0.998
1020-F-36	1020-F-36.filt.sam	PQ625087	104	2	0.981
500-F-41	500-F-41.filt.sam	PQ624849	98075	642	0.993
500-F-41	500-F-41.filt.sam	PQ624959	219719	1709	0.992
500-F-41	500-F-41.filt.sam	PQ624848	55198	292	0.995
500-F-41	500-F-41.filt.sam	PQ625062	74204	373	0.995
500-F-41	500-F-41.filt.sam	PQ625156	66902	667	0.990
500-M-16	500-M-16.filt.sam	PQ624961	1665	72	0.959
500-M-16	500-M-16.filt.sam	PQ624851	4068	57	0.986
500-M-16	500-M-16.filt.sam	PQ625064	369	14	0.963
500-M-65	500-M-65.filt.sam	PQ625072	4487	67	0.985
500-M-65	500-M-65.filt.sam	PQ625162	5692	64	0.989
500-M-65	500-M-65.filt.sam	PQ624860	9289	56	0.994
500-M-65	500-M-65.filt.sam	PQ624969	13244	134	0.990
Adobe-C2	Adobe-C2.filt.sam	PQ624899	13557	263	0.981
Adobe-C2	Adobe-C2.filt.sam	PQ625107	1791	381	0.825
Adobe-C2	Adobe-C2.filt.sam	PQ625004	3614	293	0.925
1020-M-19	1020-M-19.filt.sam	PQ624884	117226	697	0.994
1020-M-19	1020-M-19.filt.sam	PQ624991	225842	1482	0.993
1020-M-19	1020-M-19.filt.sam	PQ625173	106820	793	0.993
1020-M-19	1020-M-19.filt.sam	PQ625094	61586	472	0.992
Penn-M-2	Penn-M-2.filt.sam	PQ625208	5335	22	0.996
Penn-M-2	Penn-M-2.filt.sam	PQ625148	1490	8	0.995
Penn-M-2	Penn-M-2.filt.sam	PQ624945	2704	15	0.994
Penn-M-2	Penn-M-2.filt.sam	PQ625050	3839	31	0.992
Peach-9-F8	Peach-9-F8.filt.sam	PQ625139	6514	278	0.959
Peach-9-F8	Peach-9-F8.filt.sam	PQ625038	6433	127	0.981
Peach-9-F8	Peach-9-F8.filt.sam	PQ624934	4519	71	0.985
ME-M-7	ME-M-7.filt.sam	PQ624919	422	6	0.986
ME-M-7	ME-M-7.filt.sam	PQ625023	13608	349	0.975
ME-M-7	ME-M-7.filt.sam	PQ625194	202	4	0.981
ME-M-7	ME-M-7.filt.sam	PQ624918	20875	179	0.991
ME-M-7	ME-M-7.filt.sam	PQ625024	704	11	0.985
ME-M-7	ME-M-7.filt.sam	PQ625124	1694	112	0.938
ME-M-7	ME-M-7.filt.sam	PQ625125	293	12	0.961
ME-F-1	ME-F-1.filt.sam	PQ625188	25		1.000
ME-F-1	ME-F-1.filt.sam	PQ624910	45666	587	0.987
ME-F-1	ME-F-1.filt.sam	PQ625187	20	1	0.952
ME-F-1	ME-F-1.filt.sam	PQ625015	14663	855	0.945
ME-F-1	ME-F-1.filt.sam	PQ625118	6652	662	0.909
1428-M-21	1428-M-21.filt.sam	PQ624999	12345	281	0.978
1428-M-21	1428-M-21.filt.sam	PQ625102	11786	1125	0.913
1428-M-21	1428-M-21.filt.sam	PQ624894	16789	292	0.983
500-M-84	500-M-84.filt.sam	PQ624863	158442	578	0.996
500-M-84	500-M-84.filt.sam	PQ624972	245362	1031	0.996
500-M-84	500-M-84.filt.sam	PQ625164	198944	891	0.996
500-M-84	500-M-84.filt.sam	PQ625075	80703	280	0.997
500-M-17	500-M-17.filt.sam	PQ624962	10440	288	0.973
500-M-17	500-M-17.filt.sam	PQ625157	7337	251	0.967
500-M-17	500-M-17.filt.sam	PQ624852	12885	281	0.979
500-M-17	500-M-17.filt.sam	PQ625065	7868	510	0.939
OH-M-5	OH-M-5.filt.sam	PQ625137	13204	815	0.942
OH-M-5	OH-M-5.filt.sam	PQ625198	10430	411	0.962
OH-M-5	OH-M-5.filt.sam	PQ625036	29366	799	0.974
OH-M-5	OH-M-5.filt.sam	PQ624932	23109	453	0.981
Penn-M-8	Penn-M-8.filt.sam	PQ625210	89		1.000
Penn-M-8	Penn-M-8.filt.sam	PQ625149	77		1.000
Penn-M-8	Penn-M-8.filt.sam	PQ625051	192	1	0.995
Penn-M-8	Penn-M-8.filt.sam	PQ624947	110	2	0.982
ME-M-18	ME-M-18.filt.sam	PQ625030	8434	343	0.961
ME-M-18	ME-M-18.filt.sam	PQ624926	26116	370	0.986
ME-M-18	ME-M-18.filt.sam	PQ625131	1038	126	0.892
ME-M-3	ME-M-3.filt.sam	PQ625056	1327	25	0.982
ME-M-3	ME-M-3.filt.sam	PQ625214	739	7	0.991
ME-M-3	ME-M-3.filt.sam	PQ625153	676	36	0.949
ME-M-3	ME-M-3.filt.sam	PQ624952	2778	50	0.982
1020-D1	1020-D1.filt.sam	PQ625082	171	23	0.881
1020-D1	1020-D1.filt.sam	PQ624871	1988	33	0.984
1020-D1	1020-D1.filt.sam	PQ624979	1090	34	0.970
ME-M-2	ME-M-2.filt.sam	PQ625192	10267	432	0.960
ME-M-2	ME-M-2.filt.sam	PQ625020	14984	535	0.966
ME-M-2	ME-M-2.filt.sam	PQ624915	30470	502	0.984
ME-M-2	ME-M-2.filt.sam	PQ625121	8411	1929	0.813
ME-M-2	ME-M-2.filt.sam	PQ625193	6471	224	0.967
CVID-1006-G7	CVID-1006-G7.filt.sam	PQ624905	6962	59	0.992
CVID-1006-G7	CVID-1006-G7.filt.sam	PQ625113	4178	162	0.963
CVID-1006-G7	CVID-1006-G7.filt.sam	PQ625183	6672	79	0.988
CVID-1006-G7	CVID-1006-G7.filt.sam	PQ625010	9832	90	0.991
500-M-61	500-M-61.filt.sam	PQ624967	15062	269	0.982
500-M-61	500-M-61.filt.sam	PQ625160	5168	158	0.970
500-M-61	500-M-61.filt.sam	PQ624858	9400	160	0.983
500-M-61	500-M-61.filt.sam	PQ625070	8413	474	0.947
500-M-65-2	500-M-65-2.filt.sam	PQ624968	5949	73	0.988
500-M-65-2	500-M-65-2.filt.sam	PQ624859	4312	47	0.989
500-M-65-2	500-M-65-2.filt.sam	PQ625161	1904	56	0.971
500-M-65-2	500-M-65-2.filt.sam	PQ625071	3616	125	0.967
500-M-60	500-M-60.filt.sam	PQ625068	336	25	0.931
500-M-60	500-M-60.filt.sam	PQ624855	1325	33	0.976
500-M-60	500-M-60.filt.sam	PQ624965	1539	50	0.969
500-M-60	500-M-60.filt.sam	PQ624856	1934	20	0.990
CVID-0911-F4	CVID-0911-F4.filt.sam	PQ625181	5382	392	0.932
CVID-0911-F4	CVID-0911-F4.filt.sam	PQ624903	11045	485	0.958
CVID-0911-F4	CVID-0911-F4.filt.sam	PQ625008	6020	490	0.925
CVID-0911-F4	CVID-0911-F4.filt.sam	PQ625111	6598	1007	0.868
mel-20-TD-3	mel-20-TD-3.filt.sam	PQ625057	176	12	0.936
mel-20-TD-3	mel-20-TD-3.filt.sam	PQ624841	514	2	0.996
mel-20-TD-3	mel-20-TD-3.filt.sam	PQ624842	783		1.000
mel-20-TD-3	mel-20-TD-3.filt.sam	PQ624953	681	10	0.986
Penn-F-3	Penn-F-3.filt.sam	PQ625143	33329	1182	0.966
Penn-F-3	Penn-F-3.filt.sam	PQ625043	60040	590	0.990
Penn-F-3	Penn-F-3.filt.sam	PQ625203	14744	355	0.976
Penn-F-3	Penn-F-3.filt.sam	PQ624940	40950	409	0.990
ME-F-2	ME-F-2.filt.sam	PQ625016	91	6	0.938
ME-F-2	ME-F-2.filt.sam	PQ625189	85	11	0.885
ME-F-2	ME-F-2.filt.sam	PQ624911	195	2	0.990
Myrtle-E9	Myrtle-E9.filt.sam	PQ625035	2491	43	0.983
Myrtle-E9	Myrtle-E9.filt.sam	PQ624931	4529	30	0.993
Myrtle-E9	Myrtle-E9.filt.sam	PQ625136	2993	149	0.953
Myrtle-E9	Myrtle-E9.filt.sam	PQ625197	2421	48	0.981
CVID-1006-H2	CVID-1006-H2.filt.sam	PQ625184	13606	116	0.992
CVID-1006-H2	CVID-1006-H2.filt.sam	PQ625011	15132	164	0.989
CVID-1006-H2	CVID-1006-H2.filt.sam	PQ624906	11239	120	0.989
CVID-1006-H2	CVID-1006-H2.filt.sam	PQ625114	8977	252	0.973
CVID-1006-H3	CVID-1006-H3.filt.sam	PQ625185	6654	52	0.992
CVID-1006-H3	CVID-1006-H3.filt.sam	PQ624907	10616	67	0.994
CVID-1006-H3	CVID-1006-H3.filt.sam	PQ625115	11301	162	0.986
